Time,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,OrderBuyNum,OrderSellNum,OrderBuyVolume,OrderSellVolume,TradeBuyNum,TradeSellNum,TradeBuyVolume,TradeSellVolume,TradeBuyAmount,TradeSellAmount,LastPrice,Return5min
93000000,5454,5450,5448,5446,5445,3000,900,1400,1700,100,5455,5456,0,0,0,123700,1867732,0,0,0,2995,2025,6783200,4355432,866,1405,629400,1614300,3433377000,8806006500,5455,-0.05666408368849283
93000500,5355,5320,5311,5310,5306,200,2700,1300,600,700,5399,5400,5401,5404,5407,500,14000,2800,1100,100,621,940,1609000,1720832,1295,109,1461900,76200,7955343298,411804500,5399,-0.041448770094906065
93001000,5386,5300,5292,5291,5288,2400,5700,1000,100,2400,5426,5436,5438,5440,5441,1300,800,400,59673,600,299,542,370300,905685,364,44,265600,24800,1437979600,131694800,5436,-0.04736995059575705
93001500,5400,5380,5303,5300,5292,7300,200,600,5300,1000,5445,5446,5447,5448,5449,4673,37800,6800,37700,14300,302,390,304900,636900,334,24,248700,12200,1349522435,65545900,5445,-0.049042367962855486
93002000,5361,5360,5350,5348,5339,2200,11700,1200,1000,1400,5364,5400,5410,5430,5434,1024,6500,200,6100,1100,231,307,264900,560224,305,34,217800,13400,1179581281,72177600,5364,-0.03743470690655833
93002500,5400,5388,5360,5359,5356,500,100,11900,200,100,5450,5451,5452,5453,5454,209202,11800,18800,142700,1371062,206,285,220100,479725,277,25,170000,8500,923733215,45683500,5400,-0.04891724671307038
93003000,5395,5360,5359,5356,5350,100,9400,400,100,1700,5450,5451,5452,5453,5454,139302,12600,22500,150100,1469972,203,208,275500,299110,290,23,195802,4800,1065228300,25885200,5450,-0.04873803307223673
93003500,5360,5359,5356,5350,5348,2700,400,100,1800,1000,5446,5450,5451,5452,5453,400,122202,14900,24100,152500,178,176,131700,213200,220,15,95900,8300,521338300,44554500,5450,-0.044360684256306175
93004000,5390,5360,5359,5356,5355,1100,600,400,200,600,5420,5440,5450,5451,5452,300,200,3627,17900,27100,174,183,231400,216125,280,14,186600,5000,1015702300,26961400,5450,-0.04454536670209682
93004500,5385,5360,5359,5356,5355,100,100,400,200,600,5441,5443,5450,5451,5453,2500,1100,900,400,173527,161,163,115700,200300,266,19,98600,3100,536084219,16698700,5385,-0.04588928605931794
93005000,5385,5366,5350,5348,5339,500,100,1900,1000,100,5443,5445,5453,5454,5455,1400,5500,137027,1741072,492702,144,158,146000,152600,209,7,111100,1300,604110500,6972300,5443,-0.04567841622404636
93005500,5337,5333,5325,5321,5320,100,20000,8000,100,500,5400,5420,5445,5450,5451,1900,100,300,4100,200,155,166,384300,188500,323,21,367800,6300,2004438973,33869000,5358,-0.037792383529866615
93006000,5333,5325,5320,5317,5310,15300,8000,500,5000,1700,5450,5452,5453,5454,5455,200,7600,400,1658699,524602,170,137,184700,206900,245,12,159500,5600,867066600,29922500,5450,-0.04103108708244835
93006500,5400,5361,5358,5346,5341,100,200,100,400,100,5450,5451,5452,5453,5454,7600,900,7900,2600,1724199,125,99,73100,155600,117,12,55200,4100,299801200,21950600,5450,-0.047499517281328445
93007000,5450,5413,5400,5353,5346,200,100,200,300,400,5454,5455,5456,0,0,1682799,539002,1352544,0,0,120,94,151500,114700,135,27,127200,14200,693429000,77156400,5454,-0.05271287893415717
93007500,5333,5325,5320,5317,5310,9000,8000,500,5000,2300,5339,5341,5344,5346,5406,1200,700,500,1300,200,95,116,89400,134100,98,39,70100,12500,379810700,67161300,5339,-0.02951958325294231
93008000,5350,5344,5333,5325,5320,100,1200,7600,8000,500,5400,5420,5430,5433,5440,300,7300,2000,100,1000,41,74,29200,86327,51,5,22300,2300,120349800,12326200,5400,-0.0371442354076218
93008500,5333,5327,5325,5320,5317,4800,400,8000,500,5000,5430,5433,5440,5441,5443,800,100,1100,3200,300,38,75,23400,68800,38,9,17300,4100,93616400,21880200,5430,-0.038298282847771564
93009000,5450,5448,5443,5400,5333,13800,100,2300,800,200,5453,5454,5455,5456,0,6900,1731626,584302,1375644,0,66,74,88700,94800,107,25,52700,27300,286007800,147555100,5453,-0.05220999806987068
93009500,5450,5448,5445,5443,5420,2300,100,2200,2300,700,5454,5455,5456,0,0,1723126,587702,1376644,0,0,70,48,63200,47600,72,20,42400,13500,231242500,73575000,5454,-0.05322128851540616
93010000,5400,5350,5348,5333,5325,3400,100,400,200,3000,5448,5449,5450,5453,5454,8300,300,900,2500,1715626,55,61,37900,52400,66,34,30300,12800,164907600,69464700,5448,-0.04609450337512054
93010500,5333,5325,5320,5317,5310,200,3000,100,5000,2400,5400,5420,5427,5445,5446,700,100,100,500,700,42,68,20000,35600,50,15,16000,4700,87062300,25322900,5358,-0.035104638827273604
93011000,5355,5350,5341,5333,5325,1600,12100,600,200,3000,5400,5420,5442,5445,5450,500,2700,900,100,3500,51,42,50600,66100,73,6,29600,1400,160584300,7542700,5400,-0.03662650602409639
